epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,13153.8,0.46211,0.05587,0.00477,0.90061,0.90153,0.93196,0.82751,0.46554,0.07569,0.00775,0.000148535,0.000148535,0.000148535
79,13323.3,0.46179,0.05694,0.00476,0.88122,0.90223,0.9314,0.82647,0.46212,0.07803,0.00768,0.000137315,0.000137315,0.000137315
80,13492,0.46182,0.05396,0.00484,0.89066,0.9021,0.9317,0.82708,0.46208,0.08232,0.00771,0.000126513,0.000126513,0.000126513
81,13661.3,0.45107,0.05326,0.0047,0.90174,0.91079,0.93293,0.829,0.46452,0.07471,0.00775,0.00011614,0.00011614,0.00011614
82,13831,0.45199,0.05189,0.00468,0.87034,0.91666,0.93119,0.82708,0.46241,0.08018,0.0077,0.000106206,0.000106206,0.000106206
83,13999.7,0.45627,0.05103,0.0047,0.88599,0.91018,0.93125,0.82543,0.46493,0.08551,0.00776,9.67211e-05,9.67211e-05,9.67211e-05
84,14168.6,0.4478,0.05148,0.00468,0.89512,0.90564,0.9317,0.82764,0.4674,0.08489,0.0078,8.76942e-05,8.76942e-05,8.76942e-05
85,14337.4,0.44027,0.05092,0.00458,0.92168,0.88423,0.93523,0.83074,0.4627,0.07933,0.00771,7.91345e-05,7.91345e-05,7.91345e-05
86,14506.2,0.44841,0.05185,0.0047,0.87792,0.9243,0.92956,0.82426,0.46477,0.08364,0.00776,7.10504e-05,7.10504e-05,7.10504e-05
87,14675,0.44134,0.04884,0.00457,0.92315,0.87001,0.92849,0.82244,0.46483,0.08228,0.00775,6.34499e-05,6.34499e-05,6.34499e-05
88,14844.1,0.43613,0.04888,0.00454,0.91476,0.87343,0.92827,0.8225,0.46858,0.08866,0.00781,5.63404e-05,5.63404e-05,5.63404e-05
89,15013,0.43993,0.04982,0.00459,0.90265,0.89429,0.9316,0.82655,0.4666,0.08584,0.00777,4.97291e-05,4.97291e-05,4.97291e-05
90,15181.1,0.4367,0.04952,0.00457,0.89565,0.89369,0.92936,0.82609,0.46617,0.08906,0.00778,4.36223e-05,4.36223e-05,4.36223e-05
91,15350.3,0.38462,0.01776,0.00505,0.90407,0.88073,0.92689,0.82146,0.47281,0.09022,0.00789,3.80262e-05,3.80262e-05,3.80262e-05
92,15518.6,0.38103,0.01584,0.00501,0.91636,0.8825,0.92867,0.82365,0.47075,0.08794,0.00786,3.29463e-05,3.29463e-05,3.29463e-05
93,15686.9,0.38029,0.01613,0.00498,0.91342,0.8751,0.93017,0.82379,0.4703,0.08871,0.00784,2.83875e-05,2.83875e-05,2.83875e-05
94,15855.6,0.37623,0.01656,0.00495,0.89176,0.90229,0.93056,0.82443,0.4696,0.0884,0.00784,2.43545e-05,2.43545e-05,2.43545e-05
95,16024.2,0.37366,0.01541,0.00495,0.8922,0.90648,0.92803,0.82282,0.46928,0.0884,0.00782,2.0851e-05,2.0851e-05,2.0851e-05
96,16191.5,0.37048,0.01451,0.00488,0.89493,0.89427,0.92813,0.82396,0.47074,0.08959,0.00785,1.78807e-05,1.78807e-05,1.78807e-05
97,16359.2,0.37256,0.01445,0.00488,0.87849,0.91302,0.92759,0.82285,0.47101,0.09001,0.00784,1.54465e-05,1.54465e-05,1.54465e-05
